COLDID	Annotator	OriginalID	Text	Q1	Q2	Q3	Q4
650	A	D-1821	&#8220;@iSignMyOwnBoobs thats my fav part on Take Care&#8221;whole album trash	N	N	N	N
650	C	D-1821	&#8220;@iSignMyOwnBoobs thats my fav part on Take Care&#8221;whole album trash	N	N	Y	N
650	D	D-1821	&#8220;@iSignMyOwnBoobs thats my fav part on Take Care&#8221;whole album trash	N	N	N	N
651	B	D-1825	&#8220;@iamkrause: All I see in every #IfTheyGunnedMeDown tweet... http://t.co/XWmkac1Aw6&#8221;  Dis be like da colored Brady Bunch	Y	N	N	N
651	D	D-1825	&#8220;@iamkrause: All I see in every #IfTheyGunnedMeDown tweet... http://t.co/XWmkac1Aw6&#8221;  Dis be like da colored Brady Bunch	N	Y	N	N
651	F	D-1825	&#8220;@iamkrause: All I see in every #IfTheyGunnedMeDown tweet... http://t.co/XWmkac1Aw6&#8221;  Dis be like da colored Brady Bunch	N	N	N	N
652	A	D-1826	&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221;     Dis my pal from our graduation when we was 26	Y	Y	Y	N
652	C	D-1826	&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221;     Dis my pal from our graduation when we was 26	Y	Y	N	N
652	C	D-1826	&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221;     Dis my pal from our graduation when we was 26	Y	Y	N	N
652	D	D-1826	&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221;     Dis my pal from our graduation when we was 26	Y	Y	N	N
652	E	D-1826	&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221;     Dis my pal from our graduation when we was 26	Y	Y	N	N
652	F	D-1826	&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221;     Dis my pal from our graduation when we was 26	Y	Y	N	N
653	B	D-1842	&#8220;@jerseyzbest74: eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense&#8221; #StopIt	N	N	N	N
653	C	D-1842	&#8220;@jerseyzbest74: eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense&#8221; #StopIt	N	N	Y	N
653	F	D-1842	&#8220;@jerseyzbest74: eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense&#8221; #StopIt	N	N	N	N
654	A	D-1872	&#8220;@lakeshow73: @WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those "Rose(ie) colored glasses off	N	N	N	N
654	B	D-1872	&#8220;@lakeshow73: @WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those "Rose(ie) colored glasses off	N	N	N	N
654	D	D-1872	&#8220;@lakeshow73: @WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those "Rose(ie) colored glasses off	N	N	N	N
655	C	D-1877	RT @TweetLikeAGirI: when other girls wear beanies they look cute & stylish but when i wear them i look like a member of a drug cartel who s...	N	N	N	Y
655	C	D-1877	RT @TweetLikeAGirI: when other girls wear beanies they look cute & stylish but when i wear them i look like a member of a drug cartel who s...	N	N	N	Y
655	E	D-1877	RT @TweetLikeAGirI: when other girls wear beanies they look cute & stylish but when i wear them i look like a member of a drug cartel who s...	N	N	N	N
655	E	D-1877	RT @TweetLikeAGirI: when other girls wear beanies they look cute & stylish but when i wear them i look like a member of a drug cartel who s...	N	N	N	N
655	F	D-1877	RT @TweetLikeAGirI: when other girls wear beanies they look cute & stylish but when i wear them i look like a member of a drug cartel who s...	N	N	N	N
655	F	D-1877	RT @TweetLikeAGirI: when other girls wear beanies they look cute & stylish but when i wear them i look like a member of a drug cartel who s...	N	N	N	N
656	A	D-1879	&#8220;@lilduval: Is it me or does Kim kardashian ain't looking as good no more&#8221;still look better then these so called bad bitches	N	Y	Y	N
656	C	D-1879	&#8220;@lilduval: Is it me or does Kim kardashian ain't looking as good no more&#8221;still look better then these so called bad bitches	Y	Y	N	N
656	D	D-1879	&#8220;@lilduval: Is it me or does Kim kardashian ain't looking as good no more&#8221;still look better then these so called bad bitches	N	Y	N	N
657	D	D-1891	&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers	Y	Y	N	N
657	D	D-1891	&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers	Y	Y	N	N
657	E	D-1891	&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers	Y	Y	N	N
657	F	D-1891	&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers	Y	Y	N	N
658	A	D-1906	&#8220;@notflappybird: Tag a friend that sucks at flappy bird&#8221; @me	N	N	N	N
658	C	D-1906	&#8220;@notflappybird: Tag a friend that sucks at flappy bird&#8221; @me	N	N	N	N
658	D	D-1906	&#8220;@notflappybird: Tag a friend that sucks at flappy bird&#8221; @me	N	N	N	N
659	A	D-1907	&#8220;@nypost: If you used the ObamaCare website you should definitely change your password http://t.co/VEd4Yyztok&#8221; hahahahahah that's sad #boon	N	N	N	N
659	B	D-1907	&#8220;@nypost: If you used the ObamaCare website you should definitely change your password http://t.co/VEd4Yyztok&#8221; hahahahahah that's sad #boon	N	N	N	N
659	D	D-1907	&#8220;@nypost: If you used the ObamaCare website you should definitely change your password http://t.co/VEd4Yyztok&#8221; hahahahahah that's sad #boon	N	N	N	N
660	A	D-1913	SteveWorks4You @teaparty ...anti American Republicans and teabaggers stop forcing ur religion on the rest of us. Stockman u dont pray.	Y	Y	Y	N
660	D	D-1913	SteveWorks4You @teaparty ...anti American Republicans and teabaggers stop forcing ur religion on the rest of us. Stockman u dont pray.	Y	N	N	N
660	E	D-1913	SteveWorks4You @teaparty ...anti American Republicans and teabaggers stop forcing ur religion on the rest of us. Stockman u dont pray.	Y	N	N	N
661	C	D-1923	&#8220;@rocafella123 "@waymoflydenu: If fleek in yo vocabulary you a faggot"&#8221;	Y	Y	N	N
661	E	D-1923	&#8220;@rocafella123 "@waymoflydenu: If fleek in yo vocabulary you a faggot"&#8221;	Y	Y	N	N
661	F	D-1923	&#8220;@rocafella123 "@waymoflydenu: If fleek in yo vocabulary you a faggot"&#8221;	Y	Y	N	N
662	A	D-1948	&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect	Y	Y	Y	N
662	D	D-1948	&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect	Y	Y	N	N
662	E	D-1948	&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect	Y	Y	N	N
663	A	D-1949	&#8220;@sportspickle: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.	N	N	N	N
663	B	D-1949	&#8220;@sportspickle: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.	N	N	N	N
663	D	D-1949	&#8220;@sportspickle: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.	N	N	N	N
664	A	D-1963	&#8220;@theellemac: Essence Fest anyone?&#8221; I'll be there on the main stage 2 stepping with Uncle Charlie	N	N	N	N
664	C	D-1963	&#8220;@theellemac: Essence Fest anyone?&#8221; I'll be there on the main stage 2 stepping with Uncle Charlie	N	N	N	N
664	E	D-1963	&#8220;@theellemac: Essence Fest anyone?&#8221; I'll be there on the main stage 2 stepping with Uncle Charlie	N	N	N	N
665	A	D-1964	&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me	Y	Y	Y	N
665	C	D-1964	&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me	Y	Y	N	N
665	E	D-1964	&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me	Y	N	N	N
666	A	D-1972	&#8220;@trayn1gga: Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now	N	N	N	N
666	D	D-1972	&#8220;@trayn1gga: Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now	N	N	N	N
666	E	D-1972	&#8220;@trayn1gga: Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now	N	N	N	N
667	C	D-1977	&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag	Y	Y	N	N
667	E	D-1977	&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag	N	N	N	N
667	F	D-1977	&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag	N	N	N	N
668	B	D-1986	&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?	N	Y	N	N
668	C	D-1986	&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?	Y	N	N	N
668	E	D-1986	&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?	N	N	N	N
668	E	D-1986	&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?	N	N	N	N
668	F	D-1986	&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?	Y	Y	N	N
668	F	D-1986	&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?	Y	Y	N	N
669	A	D-1987	"RT @waymoflydenu If you do tax fraud you bet not dare tweet about voting bitch"all of them tweeting they don't do politics"	Y	Y	Y	N
669	C	D-1987	"RT @waymoflydenu If you do tax fraud you bet not dare tweet about voting bitch"all of them tweeting they don't do politics"	Y	Y	N	N
669	E	D-1987	"RT @waymoflydenu If you do tax fraud you bet not dare tweet about voting bitch"all of them tweeting they don't do politics"	N	Y	N	N
670	C	D-1989	&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them	Y	Y	N	N
670	E	D-1989	&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them	Y	Y	N	Y
670	F	D-1989	&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them	Y	Y	N	Y
671	A	D-1991	&#8220;@wizkhalifa: On the east coast there's colored hair everywhere.     This must be the sweetest wave ever.&#8221; @LayaFace	N	N	N	N
671	B	D-1991	&#8220;@wizkhalifa: On the east coast there's colored hair everywhere.     This must be the sweetest wave ever.&#8221; @LayaFace	N	N	N	N
671	D	D-1991	&#8220;@wizkhalifa: On the east coast there's colored hair everywhere.     This must be the sweetest wave ever.&#8221; @LayaFace	N	N	N	N
671	D	D-1991	&#8220;@wizkhalifa: On the east coast there's colored hair everywhere.     This must be the sweetest wave ever.&#8221; @LayaFace	N	N	N	N
671	E	D-1991	&#8220;@wizkhalifa: On the east coast there's colored hair everywhere.     This must be the sweetest wave ever.&#8221; @LayaFace	N	N	N	N
671	F	D-1991	&#8220;@wizkhalifa: On the east coast there's colored hair everywhere.     This must be the sweetest wave ever.&#8221; @LayaFace	N	N	N	N
672	A	D-2033	&#9889;&#65039;&#9889;&#65039; why lie you're my nigguh &#128526;	N	Y	Y	N
672	C	D-2033	&#9889;&#65039;&#9889;&#65039; why lie you're my nigguh &#128526;	N	Y	N	N
672	D	D-2033	&#9889;&#65039;&#9889;&#65039; why lie you're my nigguh &#128526;	N	Y	N	N
673	A	D-2036	&amp; I keep that bitch on me , it's part of my fashion   So nigga see me when you see me , catch me in traffic	N	Y	Y	N
673	C	D-2036	&amp; I keep that bitch on me , it's part of my fashion   So nigga see me when you see me , catch me in traffic	Y	Y	N	N
673	D	D-2036	&amp; I keep that bitch on me , it's part of my fashion   So nigga see me when you see me , catch me in traffic	N	Y	N	N
674	B	D-2046	&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A	Y	Y	N	N
674	E	D-2046	&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A	Y	Y	N	N
674	F	D-2046	&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A	Y	Y	N	N
675	B	D-2050	&lt;&lt;&lt;when it's yellow outside	N	N	N	N
675	C	D-2050	&lt;&lt;&lt;when it's yellow outside	N	N	N	N
675	E	D-2050	&lt;&lt;&lt;when it's yellow outside	N	N	N	N
675	E	D-2050	&lt;&lt;&lt;when it's yellow outside	N	N	N	N
675	F	D-2050	&lt;&lt;&lt;when it's yellow outside	N	N	N	N
675	F	D-2050	&lt;&lt;&lt;when it's yellow outside	N	N	N	N
676	B	D-2051	&lt;-- nudes are trash	N	N	N	N
676	C	D-2051	&lt;-- nudes are trash	Y	N	Y	N
676	D	D-2051	&lt;-- nudes are trash	Y	N	N	N
676	E	D-2051	&lt;-- nudes are trash	N	N	N	N
676	E	D-2051	&lt;-- nudes are trash	N	N	N	N
676	E	D-2051	&lt;-- nudes are trash	N	N	N	N
676	F	D-2051	&lt;-- nudes are trash	N	N	N	N
676	F	D-2051	&lt;-- nudes are trash	Y	Y	N	N
676	F	D-2051	&lt;-- nudes are trash	Y	Y	N	N
677	A	D-2057	 August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .	N	Y	Y	N
677	C	D-2057	 August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .	N	Y	N	N
677	D	D-2057	 August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .	N	N	N	N
678	B	D-2065	Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE	Y	Y	N	N
678	E	D-2065	Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE	N	Y	N	N
678	F	D-2065	Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE	Y	Y	N	N
679	B	D-2068	Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;	N	Y	N	N
679	E	D-2068	Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;	N	Y	N	N
679	F	D-2068	Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;	N	Y	N	N
680	A	D-2071	 From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu	N	Y	Y	N
680	C	D-2071	 From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu	N	Y	N	N
680	D	D-2071	 From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu	N	Y	N	N
681	A	D-2077	Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX	N	Y	Y	N
681	B	D-2077	Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX	N	Y	N	N
681	C	D-2077	Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX	N	Y	N	N
682	A	D-2078	 Happy birthday to my main niggah right here &#1041240;&#1043358;&#1043359;&#1043323;&#1041681;&#1041636;&#1041629; We been at it for a minute same dreams of bein rich and we... http://t.co/Oy4x1yXHZe	N	Y	Y	N
682	C	D-2078	 Happy birthday to my main niggah right here &#1041240;&#1043358;&#1043359;&#1043323;&#1041681;&#1041636;&#1041629; We been at it for a minute same dreams of bein rich and we... http://t.co/Oy4x1yXHZe	N	Y	N	N
682	D	D-2078	 Happy birthday to my main niggah right here &#1041240;&#1043358;&#1043359;&#1043323;&#1041681;&#1041636;&#1041629; We been at it for a minute same dreams of bein rich and we... http://t.co/Oy4x1yXHZe	N	Y	N	N
683	A	D-2088	 I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .	N	Y	Y	N
683	C	D-2088	 I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .	N	Y	N	N
683	D	D-2088	 I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .	N	Y	N	N
684	B	D-2098	 I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu	N	Y	N	N
684	C	D-2098	 I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu	N	Y	N	N
684	F	D-2098	 I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu	N	Y	N	N
685	B	D-2106	If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT	Y	Y	N	N
685	E	D-2106	If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT	Y	Y	N	N
685	F	D-2106	If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT	Y	Y	N	N
686	A	D-2113	 Ima young rich niggah Tryna fuck a niggah bitch , My ex a rat the Naybahoods be fuckin on that bitch &#1041204;&#1041204; , I... http://t.co/hFnSbuPwma	Y	Y	Y	N
686	C	D-2113	 Ima young rich niggah Tryna fuck a niggah bitch , My ex a rat the Naybahoods be fuckin on that bitch &#1041204;&#1041204; , I... http://t.co/hFnSbuPwma	N	Y	N	N
686	E	D-2113	 Ima young rich niggah Tryna fuck a niggah bitch , My ex a rat the Naybahoods be fuckin on that bitch &#1041204;&#1041204; , I... http://t.co/hFnSbuPwma	Y	Y	N	N
687	A	D-2121	 Looked at my EX profile and she struggling with that weak ass niggah &#1041204; God Is Good &#1041240;&#1041243;	N	Y	Y	N
687	C	D-2121	 Looked at my EX profile and she struggling with that weak ass niggah &#1041204; God Is Good &#1041240;&#1041243;	Y	Y	N	N
687	D	D-2121	 Looked at my EX profile and she struggling with that weak ass niggah &#1041204; God Is Good &#1041240;&#1041243;	Y	Y	N	N
688	A	D-2129	 Niggah said " my girl off limits thirsty niggahs stay out her inbox " But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q	Y	Y	Y	N
688	C	D-2129	 Niggah said " my girl off limits thirsty niggahs stay out her inbox " But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q	Y	Y	N	N
688	D	D-2129	 Niggah said " my girl off limits thirsty niggahs stay out her inbox " But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q	Y	Y	N	N
688	A	D-2129	Niggah said " my girl off limits thirsty niggahs stay out her inbox " But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q	Y	Y	Y	N
688	C	D-2129	Niggah said " my girl off limits thirsty niggahs stay out her inbox " But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q	Y	Y	N	N
688	E	D-2129	Niggah said " my girl off limits thirsty niggahs stay out her inbox " But the bitch look like Kunta Kintes... http://t.co/VeqZF9IK6Q	N	Y	N	N
689	A	D-2131	No FEELINS for a hoe that ain't ma main thang , ma niggahs on the same thang &#1043359; all ma niggahs gangbang ,... http://t.co/pc0fcynoFU	Y	Y	Y	N
689	B	D-2131	No FEELINS for a hoe that ain't ma main thang , ma niggahs on the same thang &#1043359; all ma niggahs gangbang ,... http://t.co/pc0fcynoFU	Y	Y	N	N
689	C	D-2131	No FEELINS for a hoe that ain't ma main thang , ma niggahs on the same thang &#1043359; all ma niggahs gangbang ,... http://t.co/pc0fcynoFU	N	Y	N	N
690	A	D-2137	 Ran a good game with my Royal niggah &#1043359;&#1042390;&#1043323;	N	Y	Y	N
690	C	D-2137	 Ran a good game with my Royal niggah &#1043359;&#1042390;&#1043323;	N	Y	N	N
690	E	D-2137	 Ran a good game with my Royal niggah &#1043359;&#1042390;&#1043323;	N	Y	N	N
691	B	D-2146	 Someone let me know why Drake so cold ? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper , this niggah HARD .	N	Y	N	N
691	E	D-2146	 Someone let me know why Drake so cold ? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper , this niggah HARD .	N	Y	N	N
691	F	D-2146	 Someone let me know why Drake so cold ? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper , this niggah HARD .	N	Y	N	N
692	B	D-2149	That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA	N	Y	N	N
692	D	D-2149	That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA	N	Y	N	N
692	F	D-2149	That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA	Y	Y	N	N
693	B	D-2152	 This Niggah Kevin Hart couldn't sit down lmaoooooooooooo My niggah My Niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1043358;&#1043351;&#1043323;	N	Y	N	N
693	C	D-2152	 This Niggah Kevin Hart couldn't sit down lmaoooooooooooo My niggah My Niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1043358;&#1043351;&#1043323;	N	Y	N	N
693	F	D-2152	 This Niggah Kevin Hart couldn't sit down lmaoooooooooooo My niggah My Niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1043358;&#1043351;&#1043323;	Y	Y	N	N
694	B	D-2155	This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .	Y	Y	N	N
694	E	D-2155	This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .	Y	Y	N	N
694	F	D-2155	This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .	Y	Y	N	N
695	B	D-2157	 Waaaaittt niggah holllll'up &#9995; these niggahs come to town start wife'n my old sluts &#1041204;&#1041204;&#1041204;&#1041210;&#1041210; .	Y	Y	N	N
695	E	D-2157	 Waaaaittt niggah holllll'up &#9995; these niggahs come to town start wife'n my old sluts &#1041204;&#1041204;&#1041204;&#1041210;&#1041210; .	Y	Y	N	N
695	F	D-2157	 Waaaaittt niggah holllll'up &#9995; these niggahs come to town start wife'n my old sluts &#1041204;&#1041204;&#1041204;&#1041210;&#1041210; .	Y	Y	N	N
696	A	D-2159	 With my Bestf Shyanna Pen and ma main niggah Ronnie A. Jackson III &#1043359;&#1041636; Movie bound after we pick up the homies	N	Y	Y	N
696	C	D-2159	 With my Bestf Shyanna Pen and ma main niggah Ronnie A. Jackson III &#1043359;&#1041636; Movie bound after we pick up the homies	N	Y	N	N
696	E	D-2159	 With my Bestf Shyanna Pen and ma main niggah Ronnie A. Jackson III &#1043359;&#1041636; Movie bound after we pick up the homies	N	Y	N	N
697	A	D-2170	2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork	N	N	N	N
697	B	D-2170	2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork	N	N	N	N
697	C	D-2170	2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork	N	Y	N	N
697	C	D-2170	2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork	N	Y	N	N
697	D	D-2170	2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork	N	N	N	N
697	F	D-2170	2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork	N	N	N	N
698	A	D-2172	Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm	Y	Y	Y	N
698	D	D-2172	Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm	Y	Y	N	N
698	E	D-2172	Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm	Y	Y	N	N
699	A	D-2175	Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!	Y	Y	Y	N
699	C	D-2175	Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!	Y	N	Y	N
699	D	D-2175	Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!	Y	N	Y	Y
700	A	D-2176	Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S	N	N	N	N
700	C	D-2176	Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S	N	N	N	N
700	D	D-2176	Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S	N	N	N	N
700	E	D-2176	Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S	N	N	N	N
700	E	D-2176	Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S	N	N	N	N
700	F	D-2176	Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry http://t.co/vltSpK8U4S	N	N	N	N
701	A	D-2177	Views from the 6' gon be Instagram picture titles for a while...brace yaself my nigs	N	Y	Y	N
701	B	D-2177	Views from the 6' gon be Instagram picture titles for a while...brace yaself my nigs	N	Y	N	N
701	D	D-2177	Views from the 6' gon be Instagram picture titles for a while...brace yaself my nigs	N	Y	N	N
702	A	D-2179	(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)	N	N	N	N
702	B	D-2179	(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)	N	N	N	N
702	D	D-2179	(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)	N	N	N	N
702	E	D-2179	(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)	N	N	N	N
702	E	D-2179	(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)	N	N	N	N
702	F	D-2179	(U-turns on yellow) &#161;NO ACEPTAR ESTE LUZ ROJO! (&#9835; Lights taking too long make me bilingual &#9835;)	N	N	N	N
703	A	D-2180	(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.	N	N	N	N
703	B	D-2180	(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.	N	N	N	N
703	D	D-2180	(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.	N	N	N	N
703	D	D-2180	(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.	N	N	N	N
703	E	D-2180	(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.	N	N	N	N
703	F	D-2180	(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.	N	N	N	N
